34,37,35,-,Do you feel sick | sensitive to light or have a sore/throbbing neck?
35,36,12,-,Does the pain feel like a constant ache?
36,10,11,You might have MUSCLE CONTRACTION HEADACHES. <br/>Muscle contraction headache is associated with bilateral mild to moderate aching pain in the head and is linked to tightening of the neck muscles and increased pressure behind the eyes. <br/>These symptoms usually resolve within a few hours but can sometimes last for a few days. The pain is uncomfortable but affected individuals are able to carry out daily activities as normal. <br/>More information here - https://www.news-medical.net/health/What-is-Muscle-Contraction-Headache.aspx,Does this description describe your headaches?
37,38,12,-,Is the pain a severe throbbing?
38,39,40,-,Do you have visual problems | numbness | feel dizzy | have speech problems or faint before or during these headaches?
39,10,11,You might have MIGRAINES (WITH AURA). <br/>The main symptom of a migraine is usually an intense headache on 1 side of the head. <br/>The pain is usually a moderate or severe throbbing sensation that gets worse when you move and prevents you from carrying out normal activities. <br/>In some cases | the pain can occur on both sides of your head and may affect your face or neck. <br/>The aura starts before the headache and is a kind of warning. These symptoms are visual problems | numbness | feel dizzy | have speech problems or faint. <br/>More information here - https://www.nhs.uk/conditions/migraine/symptoms/,Does this description describe your headaches?
40,10,11,You might have MIGRAINES. <br/>The main symptom of a migraine is usually an intense headache on 1 side of the head. <br/>The pain is usually a moderate or severe throbbing sensation that gets worse when you move and prevents you from carrying out normal activities. <br/>In some cases | the pain can occur on both sides of your head and may affect your face or neck. <br/>More information here - https://www.nhs.uk/conditions/migraine/symptoms/,Does this description describe your headaches?
41,37,42,-,Do you feel sick | sensitive to light or have a sore/throbbing neck?
42,43,44,-,Does this headache only happen at night (normally between 1 and 3 am)?
43,10,11,You might have HYNIC HEADACHES. <br/>These headaches will strike when you are asleep and will wake you and then last for up to 6 hours. It will normally strike between 1 and 3 am. <br/>More information here - https://www.migrainetrust.org/about-migraine/types-of-migraine/other-headache-disorders/hypnic-headache/,Does this description describe your headaches?
44,45,48,-,Does the pain feel like a constant ache?
45,46,47,-,Do you get these headaches more than 15 days in a month for the last 3 months?
46,10,11,You might have CHRONIC TENSION HEADACHES. <br/>It may feel like a constant ache that affects both sides of the head. You may also feel the neck muscles tighten and a feeling of pressure behind the eyes. <br/>A tension headache normally is not severe enough to prevent you from doing everyday activities. <br/>It usually lasts for 30 minutes to several hours | but can last for several days. <br/>You will get these headaches more than 15 days within a month for the tension headache to be chronic. <br/>More information here - https://www.nhs.uk/conditions/tension-headaches/,Does this description describe your headaches?
47,10,11,You might have EPISODIC TENSION HEADACHES. <br/>It may feel like a constant ache that affects both sides of the head. You may also feel the neck muscles tighten and a feeling of pressure behind the eyes. <br/>A tension headache normally is not severe enough to prevent you from doing everyday activities. <br/>It usually lasts for 30 minutes to several hours | but can last for several days. <br/>More information here - https://www.nhs.uk/conditions/tension-headaches/,Does this description describe your headaches?
48,49,12,-,Is the pain a severe sharp or burning?
49,50,12,-,Is the pain only on one side of the head?
50,10,11,You might have CLUSTER HEADACHES. <br/>Cluster headaches begin quickly and without warning. The pain is very severe and is often described as a sharp | burning or piercing sensation on one side of the head. <br/>It's often felt around the eye | temple and sometimes face. It tends to affect the same side for each attack. <br/>You can also see symptoms around the eye (check the link for more information). <br/>More information here - https://www.nhs.uk/conditions/cluster-headaches/,Does this description describe your headaches?
